FISCAL YEAR,CATEGORY,AGENCY,APPROPRIATED FUND,COMPTROLLER OBJECT,AMOUNT
2019,Regulatory Services,Texas Medical Board,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$2,600"
2019,Regulatory Services,Texas State Board of Pharmacy,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$58
2019,Transportation,Texas Department of Motor Vehicles,0010 - Texas Department Of Motor Vehicles Fund,7503 - Telecommunications – Long Distance,$67
2019,Transportation,Texas Department of Transportation,0006 - State Highway Fund,7503 - Telecommunications – Long Distance,$86
2020,Education,Angelo State University,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$159
2020,Education,Angelo State University,0227 - Gr Acct-Angelo State Univ Curr,7503 - Telecommunications – Long Distance,$14
2020,Education,Sam Houston State University,0259 - Gr Acct-Sam Houston St Unv Cur,7503 - Telecommunications – Long Distance,$111
2020,Education,Sam Houston State University,0581 - Gr Acct-B Blackwood Law Enf Mng Inst,7503 - Telecommunications – Long Distance,"$2,132"
2020,Education,Sam Houston State University,5083 - Gr Acct-Corr Mngmt Inst & Crim Justice C,7503 - Telecommunications – Long Distance,$888
2020,Education,Texas A&M AgriLife Extension Service,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$4,134"
2020,Education,Texas A&M AgriLife Research,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$9,488"
2020,Education,Texas A&M Engineering Experiment Station,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$55
2020,Education,Texas A&M Engineering Extension Service,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$2,390"
2020,Education,Texas A&M Forest Service,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$1,497"
2020,Education,Texas A&M Forest Service,0036 - Gr Acct-Tx Dept Ins Operating,7503 - Telecommunications – Long Distance,"$1,559"
2020,Education,Texas A&M Forest Service,5064 - Gr Acct - Volunteer Fire Dept Assistance,7503 - Telecommunications – Long Distance,$406
2020,Education,Texas A&M University System,0047 - Texas A&M Univ Available Fund,7503 - Telecommunications – Long Distance,"$5,009"
2020,Education,Texas A&M University System Health Science Center,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$4,997"
2020,Education,Texas A&M University System Health Science Center,0810 - Permanent Health Fund For Higher Ed,7503 - Telecommunications – Long Distance,$362
2020,Education,Texas A&M University System Health Science Center,0818 - Permanent Endowment Fund Tx A&M Hsc,7503 - Telecommunications – Long Distance,$203
2020,Education,Texas A&M Veterinary Medical Diagnostic Laboratory,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$2,710"
2020,Education,Texas Education Agency,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$961
2020,Education,Texas Education Agency,0003 - State Technology Instructional Materials,7503 - Telecommunications – Long Distance,$91
2020,Education,Texas Education Agency,0044 - Permanent School Fund,7503 - Telecommunications – Long Distance,"$1,470"
2020,Education,Texas Education Agency,0148 - Gr Acct-Fed Health/Ed/Welfare,7503 - Telecommunications – Long Distance,"$1,617"
2020,Education,Texas Higher Education Coordinating Board,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$4,162"
2020,Education,Texas School for the Blind and Visually Impaired,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$76
2020,Education,University of Houston-Clear Lake,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$42
2020,Education,University of Houston-Clear Lake,0229 - Gr Acct-U Of H Clear Lake Curr,7503 - Telecommunications – Long Distance,$290
2020,Education,University of Texas at Austin,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$8,777"
2020,Education,University of Texas at Austin,0011 - Available University Fund,7503 - Telecommunications – Long Distance,$238
2020,Education,University of Texas at Austin,0248 - Gr Acct-Univ Tx At Austin Curr,7503 - Telecommunications – Long Distance,"$7,849"
2020,Education,University of Texas at El Paso,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$61
2020,Education,University of Texas at El Paso,0817 - Permanent Endowment Fund Ut At El Paso,7503 - Telecommunications – Long Distance,$6
2020,Education,University of Texas Medical Branch at Galveston,0810 - Permanent Health Fund For Higher Ed,7503 - Telecommunications – Long Distance,$526
2020,Education,University of Texas of the Permian Basin,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$83
2020,Education,University of Texas of the Permian Basin,0251 - Gr Acct-Ut Permian Basin Curr,7503 - Telecommunications – Long Distance,$15
2020,Education,West Texas A&M University,0263 - Gr Acct-West Tex A&M University Current,7503 - Telecommunications – Long Distance,"$12,500"
2020,Employee Benefits,Employees Retirement System of Texas,0929 - Social Security Admin Tr Acct,7503 - Telecommunications – Long Distance,$210
2020,Employee Benefits,Employees Retirement System of Texas,0943 - St Emp Cafeteria Plan Tr Fd,7503 - Telecommunications – Long Distance,$985
2020,Employee Benefits,Employees Retirement System of Texas,"0945 - Def Compensation Trust Fd, Ers",7503 - Telecommunications – Long Distance,$311
2020,Employee Benefits,Employees Retirement System of Texas,0946 - Texasaver Trust Fund,7503 - Telecommunications – Long Distance,$645
2020,Employee Benefits,Employees Retirement System of Texas,0955 - S.E.R.S. Trust Account,7503 - Telecommunications – Long Distance,"$75,210"
2020,Employee Benefits,Employees Retirement System of Texas,0973 - Employee Ins Benefit Trust Acct,7503 - Telecommunications – Long Distance,"$54,893"
2020,Employee Benefits,Employees Retirement System of Texas,0977 - Law Enf/Cust Off Supp Retmt Fd,7503 - Telecommunications – Long Distance,"$5,653"
2020,Employee Benefits,Employees Retirement System of Texas,0993 - Jud Ret Sys-Plan Two Trust Fd,7503 - Telecommunications – Long Distance,$752
2020,General Government,Attorney General,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$7,076"
2020,General Government,Comptroller of Public Accounts,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$25
2020,General Government,Court of Appeals-Eighth Court of Appeals District,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$68
2020,General Government,Court of Appeals-Eleventh Court of Appeals District,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$110
2020,General Government,Court of Appeals-Fifth Court of Appeals District,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$1,873"
2020,General Government,Court of Appeals-Seventh Court of Appeals District,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$95
2020,General Government,Court of Appeals-Tenth Court of Appeals District,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$178
2020,General Government,Court of Appeals-Twelfth Court of Appeals District,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$396
2020,General Government,Governor-Executive,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$3,006"
2020,General Government,Governor-Fiscal,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$6,573"
2020,General Government,Governor-Fiscal,0224 - Gr Acct-Governors Ofc Federal Proj,7503 - Telecommunications – Long Distance,$299
2020,General Government,Governor-Fiscal,0421 - Gr Acct-Crim Justice Planning,7503 - Telecommunications – Long Distance,$687
2020,General Government,Governor-Fiscal,5003 - Gr Acct-Hotel Occ Tax For Economic Devel,7503 - Telecommunications – Long Distance,$83
2020,General Government,Governor-Fiscal,5106 - Gr Acct - Economic Dev Bank,7503 - Telecommunications – Long Distance,$74
2020,General Government,House of Representatives,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$940
2020,General Government,Office of Capital and Forensic Writs,5073 - Gr Acct-Fair Defense,7503 - Telecommunications – Long Distance,$398
2020,General Government,Office of Court Administration,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$117
2020,General Government,Secretary of State,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$477
2020,General Government,Senate,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$3,368"
2020,General Government,Texas Historical Commission,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$616
2020,General Government,Texas Historical Commission,5139 - Gr Acct - Historic Site,7503 - Telecommunications – Long Distance,$167
2020,General Government,Texas Lottery Commission,5025 - Gr Acct-Lottery,7503 - Telecommunications – Long Distance,$578
2020,General Government,Texas State Library and Archives Commission,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$985
2020,General Government,Texas State Library and Archives Commission,0118 - Gr Acct-Fed Pub Library Svc,7503 - Telecommunications – Long Distance,$17
2020,Health and Human Services,Department of Family and Protective Services,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$17,369"
2020,Health and Human Services,Department of State Health Services,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$83
2020,Health and Human Services,Health and Human Services Commission,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$4,950,413"
2020,Health and Human Services,Texas Veterans Commission,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$1,080"
2020,Health and Human Services,Texas Workforce Commission,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$51
2020,Health and Human Services,Texas Workforce Commission,0165 - Gr Acct-Unemp Comp Spec Admin,7503 - Telecommunications – Long Distance,$1
2020,Health and Human Services,Texas Workforce Commission,5026 - Gr Acct-Workforce Commission Federal,7503 - Telecommunications – Long Distance,$42
2020,Natural Resources/Recreational Services,Department of Agriculture,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$78
2020,Natural Resources/Recreational Services,Parks and Wildlife Department,"0009 - Gr Account-Game, Fish, Water Safety",7503 - Telecommunications – Long Distance,"$8,967"
2020,Natural Resources/Recreational Services,Parks and Wildlife Department,0064 - Gr Acct-State Parks,7503 - Telecommunications – Long Distance,"$6,464"
2020,Natural Resources/Recreational Services,Soil and Water Conservation Board,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$7,739"
2020,Public Safety and Corrections,Texas Department of Criminal Justice,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$95
2020,Public Safety and Corrections,Texas Department of Public Safety,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$3,882"
2020,Public Safety and Corrections,Texas Juvenile Justice Department,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$3,009"
2020,Public Safety and Corrections,Texas Military Department,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$1
2020,Public Safety and Corrections,Texas Military Department,0449 - Gr Acct-Texas Military,7503 - Telecommunications – Long Distance,$4
2020,Regulatory Services,Board of Examiners of Psychologists,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$540
2020,Regulatory Services,Executive Council of Physical and Occupational Therapy Examiners,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$395
2020,Regulatory Services,Office of Consumer Credit Commissioner,1012 - Office Of Consumer Cr Comm Local Oper Fd,7503 - Telecommunications – Long Distance,$1
2020,Regulatory Services,Texas Alcoholic Beverage Commission,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$1,569"
2020,Regulatory Services,Texas Board of Professional Engineers,1011 - Bd Of Prof Engineers Local Operating Fd,7503 - Telecommunications – Long Distance,"$15,970"
2020,Regulatory Services,Texas Board of Professional Land Surveying,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$132
2020,Regulatory Services,Texas Department of Banking,1008 - Tx Dept Of Banking Local Operating Fund,7503 - Telecommunications – Long Distance,"$1,645"
2020,Regulatory Services,Texas Department of Insurance,0036 - Gr Acct-Tx Dept Ins Operating,7503 - Telecommunications – Long Distance,"$4,173"
2020,Regulatory Services,Texas Department of Licensing and Regulation,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$7
2020,Regulatory Services,Texas Medical Board,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$5,471"
2020,Regulatory Services,Texas State Board of Pharmacy,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$483
2020,Transportation,Texas Department of Motor Vehicles,0010 - Texas Department Of Motor Vehicles Fund,7503 - Telecommunications – Long Distance,"$187,375"
2021,Education,Angelo State University,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$336
2021,Education,Angelo State University,0227 - Gr Acct-Angelo State Univ Curr,7503 - Telecommunications – Long Distance,$11
2021,Education,Comptroller-Prepaid Higher Education Tuition Board,0892 - Tx Tomorrow Constitutional Trust Fd,7503 - Telecommunications – Long Distance,"$4,892"
2021,Education,Sam Houston State University,0259 - Gr Acct-Sam Houston St Unv Cur,7503 - Telecommunications – Long Distance,$148
2021,Education,Sam Houston State University,0581 - Gr Acct-B Blackwood Law Enf Mng Inst,7503 - Telecommunications – Long Distance,"$1,176"
2021,Education,Sam Houston State University,5083 - Gr Acct-Corr Mngmt Inst & Crim Justice C,7503 - Telecommunications – Long Distance,$888
2021,Education,Texas A&M AgriLife Extension Service,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$603
2021,Education,Texas A&M AgriLife Research,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$2,173"
2021,Education,Texas A&M Engineering Extension Service,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$15
2021,Education,Texas A&M Forest Service,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$325
2021,Education,Texas A&M Forest Service,0036 - Gr Acct-Tx Dept Ins Operating,7503 - Telecommunications – Long Distance,$907
2021,Education,Texas A&M Forest Service,5064 - Gr Acct - Volunteer Fire Dept Assistance,7503 - Telecommunications – Long Distance,$0
2021,Education,Texas A&M Forest Service,5066 - Gr Acct-Rural Volunteer Fire Dept Insura,7503 - Telecommunications – Long Distance,$309
2021,Education,Texas A&M University System,0047 - Texas A&M Univ Available Fund,7503 - Telecommunications – Long Distance,"$5,075"
2021,Education,Texas A&M University System Health Science Center,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$4,865"
2021,Education,Texas A&M Veterinary Medical Diagnostic Laboratory,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$5,164"
2021,Education,Texas Education Agency,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$780
2021,Education,Texas Education Agency,0003 - State Technology Instructional Materials,7503 - Telecommunications – Long Distance,($61)
2021,Education,Texas Education Agency,0044 - Permanent School Fund,7503 - Telecommunications – Long Distance,($517)
2021,Education,Texas Education Agency,0148 - Gr Acct-Fed Health/Ed/Welfare,7503 - Telecommunications – Long Distance,$154
2021,Education,Texas Higher Education Coordinating Board,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$548
2021,Education,University of Houston-Clear Lake,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$277
2021,Education,University of Texas at Austin,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$5,446"
2021,Education,University of Texas at Austin,0011 - Available University Fund,7503 - Telecommunications – Long Distance,$26
2021,Education,University of Texas at Austin,0248 - Gr Acct-Univ Tx At Austin Curr,7503 - Telecommunications – Long Distance,"$7,087"
2021,Education,University of Texas at El Paso,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$12
2021,Education,University of Texas Medical Branch at Galveston,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$246
2021,Education,University of Texas Medical Branch at Galveston,0810 - Permanent Health Fund For Higher Ed,7503 - Telecommunications – Long Distance,$9
2021,Education,University of Texas of the Permian Basin,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$78
2021,Education,University of Texas of the Permian Basin,0251 - Gr Acct-Ut Permian Basin Curr,7503 - Telecommunications – Long Distance,$77
2021,Education,University of Texas System,0011 - Available University Fund,7503 - Telecommunications – Long Distance,"$3,064"
2021,Education,West Texas A&M University,0263 - Gr Acct-West Tex A&M University Current,7503 - Telecommunications – Long Distance,$38
2021,Employee Benefits,Employees Retirement System of Texas,0929 - Social Security Admin Tr Acct,7503 - Telecommunications – Long Distance,$326
2021,Employee Benefits,Employees Retirement System of Texas,0943 - St Emp Cafeteria Plan Tr Fd,7503 - Telecommunications – Long Distance,"$1,370"
2021,Employee Benefits,Employees Retirement System of Texas,"0945 - Def Compensation Trust Fd, Ers",7503 - Telecommunications – Long Distance,$320
2021,Employee Benefits,Employees Retirement System of Texas,0946 - Texasaver Trust Fund,7503 - Telecommunications – Long Distance,$694
2021,Employee Benefits,Employees Retirement System of Texas,0955 - S.E.R.S. Trust Account,7503 - Telecommunications – Long Distance,"$59,139"
2021,Employee Benefits,Employees Retirement System of Texas,0973 - Employee Ins Benefit Trust Acct,7503 - Telecommunications – Long Distance,"$116,066"
2021,Employee Benefits,Employees Retirement System of Texas,0977 - Law Enf/Cust Off Supp Retmt Fd,7503 - Telecommunications – Long Distance,"$5,432"
2021,Employee Benefits,Employees Retirement System of Texas,0993 - Jud Ret Sys-Plan Two Trust Fd,7503 - Telecommunications – Long Distance,$520
2021,General Government,Attorney General,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$2,067"
2021,General Government,Attorney General,0469 - Gr Acct-Comp To Victims Of Crime,7503 - Telecommunications – Long Distance,$66
2021,General Government,Comptroller of Public Accounts,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,($222)
2021,General Government,Court of Appeals-Eighth Court of Appeals District,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$11
2021,General Government,Court of Appeals-Eleventh Court of Appeals District,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$73
2021,General Government,Court of Appeals-Tenth Court of Appeals District,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$167
2021,General Government,Court of Appeals-Twelfth Court of Appeals District,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$429
2021,General Government,Governor-Executive,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$4,427"
2021,General Government,Governor-Fiscal,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$4,865"
2021,General Government,Governor-Fiscal,0224 - Gr Acct-Governors Ofc Federal Proj,7503 - Telecommunications – Long Distance,$211
2021,General Government,Governor-Fiscal,0421 - Gr Acct-Crim Justice Planning,7503 - Telecommunications – Long Distance,$473
2021,General Government,Governor-Fiscal,5003 - Gr Acct-Hotel Occ Tax For Economic Devel,7503 - Telecommunications – Long Distance,$89
2021,General Government,Governor-Fiscal,5010 - Gr Acct - Sexual Assault Program,7503 - Telecommunications – Long Distance,$14
2021,General Government,Governor-Fiscal,5106 - Gr Acct - Economic Dev Bank,7503 - Telecommunications – Long Distance,$182
2021,General Government,House of Representatives,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$571
2021,General Government,Office of Court Administration,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$34
2021,General Government,Secretary of State,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$836
2021,General Government,Senate,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$1,747"
2021,General Government,Texas Historical Commission,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$409
2021,General Government,Texas Historical Commission,5139 - Gr Acct - Historic Site,7503 - Telecommunications – Long Distance,$565
2021,General Government,Texas Lottery Commission,5025 - Gr Acct-Lottery,7503 - Telecommunications – Long Distance,$554
2021,General Government,Texas State Library and Archives Commission,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$2,534"
2021,General Government,Texas State Library and Archives Commission,0118 - Gr Acct-Fed Pub Library Svc,7503 - Telecommunications – Long Distance,$1
2021,Health and Human Services,Cancer Prevention & Research Institute of Texas,7639 - Tpfa Cprit Project Fund,7503 - Telecommunications – Long Distance,$152
2021,Health and Human Services,Health and Human Services Commission,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$5,115,566"
2021,Health and Human Services,Texas Veterans Commission,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$82
2021,Health and Human Services,Texas Veterans Commission,0368 - Fund For Veterans' Assistance,7503 - Telecommunications – Long Distance,$13
2021,Health and Human Services,Texas Workforce Commission,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$18
2021,Health and Human Services,Texas Workforce Commission,0165 - Gr Acct-Unemp Comp Spec Admin,7503 - Telecommunications – Long Distance,$23
2021,Health and Human Services,Texas Workforce Commission,5026 - Gr Acct-Workforce Commission Federal,7503 - Telecommunications – Long Distance,"$1,624"
2021,Natural Resources/Recreational Services,General Land Office,0522 - Veterans Land Program Admin Fd,7503 - Telecommunications – Long Distance,"$1,557"
2021,Natural Resources/Recreational Services,Parks and Wildlife Department,"0009 - Gr Account-Game, Fish, Water Safety",7503 - Telecommunications – Long Distance,$831
2021,Natural Resources/Recreational Services,Parks and Wildlife Department,0064 - Gr Acct-State Parks,7503 - Telecommunications – Long Distance,"$2,646"
2021,Natural Resources/Recreational Services,Soil and Water Conservation Board,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$3,002"
2021,Public Safety and Corrections,Texas Department of Public Safety,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$2,017"
2021,Public Safety and Corrections,Texas Juvenile Justice Department,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$2,658"
2021,Public Safety and Corrections,Texas Military Department,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$77
2021,Public Safety and Corrections,Texas Military Department,0449 - Gr Acct-Texas Military,7503 - Telecommunications – Long Distance,$28
2021,Regulatory Services,Board of Examiners of Psychologists,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$275
2021,Regulatory Services,Executive Council of Physical and Occupational Therapy Examiners,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$684
2021,Regulatory Services,Office of Consumer Credit Commissioner,1012 - Office Of Consumer Cr Comm Local Oper Fd,7503 - Telecommunications – Long Distance,$5
2021,Regulatory Services,Texas Alcoholic Beverage Commission,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$156
2021,Regulatory Services,Texas Behavioral Health Executive Council,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$134
2021,Regulatory Services,Texas Board of Professional Engineers,1011 - Bd Of Prof Engineers Local Operating Fd,7503 - Telecommunications – Long Distance,"$16,759"
2021,Regulatory Services,Texas Department of Banking,1008 - Tx Dept Of Banking Local Operating Fund,7503 - Telecommunications – Long Distance,"$1,427"
2021,Regulatory Services,Texas Department of Insurance,0036 - Gr Acct-Tx Dept Ins Operating,7503 - Telecommunications – Long Distance,"$16,560"
2021,Regulatory Services,Texas Medical Board,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$1,398"
2021,Regulatory Services,Texas State Board of Pharmacy,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$1,132"
2021,Transportation,Texas Department of Motor Vehicles,0010 - Texas Department Of Motor Vehicles Fund,7503 - Telecommunications – Long Distance,"$207,690"
2021,Transportation,Texas Department of Transportation,0006 - State Highway Fund,7503 - Telecommunications – Long Distance,"$39,687"
2022,Education,Angelo State University,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$235
2022,Education,Angelo State University,0227 - Gr Acct-Angelo State Univ Curr,7503 - Telecommunications – Long Distance,$4
2022,Education,Comptroller-Prepaid Higher Education Tuition Board,0892 - Tx Tomorrow Constitutional Trust Fd,7503 - Telecommunications – Long Distance,"$1,000"
2022,Education,Sam Houston State University,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$37
2022,Education,Texas A&M AgriLife Extension Service,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$400
2022,Education,Texas A&M AgriLife Research,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$3,835"
2022,Education,Texas A&M Forest Service,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$2
2022,Education,Texas A&M Forest Service,0036 - Gr Acct-Tx Dept Ins Operating,7503 - Telecommunications – Long Distance,$437
2022,Education,Texas A&M University System,0047 - Texas A&M Univ Available Fund,7503 - Telecommunications – Long Distance,"$3,277"
2022,Education,Texas A&M University System Health Science Center,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$1,445"
2022,Education,Texas A&M University-Kingsville,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$35
2022,Education,Texas Education Agency,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$342
2022,Education,Texas Education Agency,0003 - State Technology Instructional Materials,7503 - Telecommunications – Long Distance,$0
2022,Education,Texas Education Agency,0044 - Permanent School Fund,7503 - Telecommunications – Long Distance,$31
2022,Education,Texas Education Agency,0148 - Gr Acct-Fed Health/Ed/Welfare,7503 - Telecommunications – Long Distance,$240
2022,Education,Texas Education Agency,0325 - Coronavirus Relief Fund,7503 - Telecommunications – Long Distance,$50
2022,Education,Texas Higher Education Coordinating Board,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$158
2022,Education,Texas State Technical College System,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$15,711"
2022,Education,Texas State Technical College System,0237 - Gr Acct-Tx St Tech Coll Sys Curr,7503 - Telecommunications – Long Distance,"$7,086"
2022,Education,University of Houston-Clear Lake,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$130
2022,Education,University of Texas at Austin,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$5,466"
2022,Education,University of Texas at Austin,0011 - Available University Fund,7503 - Telecommunications – Long Distance,$21
2022,Education,University of Texas at Austin,0248 - Gr Acct-Univ Tx At Austin Curr,7503 - Telecommunications – Long Distance,"$12,197"
2022,Education,University of Texas at El Paso,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$6
2022,Education,University of Texas at El Paso,0817 - Permanent Endowment Fund Ut At El Paso,7503 - Telecommunications – Long Distance,$2
2022,Education,University of Texas Medical Branch at Galveston,0810 - Permanent Health Fund For Higher Ed,7503 - Telecommunications – Long Distance,$3
2022,Education,University of Texas of the Permian Basin,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$54
2022,Education,University of Texas of the Permian Basin,0251 - Gr Acct-Ut Permian Basin Curr,7503 - Telecommunications – Long Distance,$22
2022,Education,University of Texas System,0011 - Available University Fund,7503 - Telecommunications – Long Distance,$801
2022,Education,West Texas A&M University,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$2,946"
2022,Education,West Texas A&M University,0263 - Gr Acct-West Tex A&M University Current,7503 - Telecommunications – Long Distance,"$8,574"
2022,Employee Benefits,Employees Retirement System of Texas,0929 - Social Security Admin Tr Acct,7503 - Telecommunications – Long Distance,$205
2022,Employee Benefits,Employees Retirement System of Texas,0943 - St Emp Cafeteria Plan Tr Fd,7503 - Telecommunications – Long Distance,$181
2022,Employee Benefits,Employees Retirement System of Texas,"0945 - Def Compensation Trust Fd, Ers",7503 - Telecommunications – Long Distance,$47
2022,Employee Benefits,Employees Retirement System of Texas,0946 - Texasaver Trust Fund,7503 - Telecommunications – Long Distance,$232
2022,Employee Benefits,Employees Retirement System of Texas,0955 - S.E.R.S. Trust Account,7503 - Telecommunications – Long Distance,"$102,473"
2022,Employee Benefits,Employees Retirement System of Texas,0973 - Employee Ins Benefit Trust Acct,7503 - Telecommunications – Long Distance,"$47,524"
2022,Employee Benefits,Employees Retirement System of Texas,0977 - Law Enf/Cust Off Supp Retmt Fd,7503 - Telecommunications – Long Distance,"$3,955"
2022,Employee Benefits,Employees Retirement System of Texas,0993 - Jud Ret Sys-Plan Two Trust Fd,7503 - Telecommunications – Long Distance,$454
2022,General Government,Attorney General,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$10,482"
2022,General Government,Attorney General,0469 - Gr Acct-Comp To Victims Of Crime,7503 - Telecommunications – Long Distance,$6
2022,General Government,Court of Appeals-Eleventh Court of Appeals District,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$87
2022,General Government,Court of Appeals-Tenth Court of Appeals District,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$115
2022,General Government,Court of Appeals-Twelfth Court of Appeals District,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$332
2022,General Government,Governor-Executive,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$1,347"
2022,General Government,Governor-Fiscal,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$309
