FISCAL_YEAR,CATEGORY,AGENCY,APPROPRIATED_FUND,COMPTROLLER_OBJECT,AMOUNT
2025,Operating Fund Transfers,Cancer Prevention & Research Institute of Texas,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$74,667 "
2025,Operating Fund Transfers,Cancer Prevention & Research Institute of Texas,5136 - Gr Acct - Cancer Prevention And Research,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$872,522 "
2025,Operating Fund Transfers,Cancer Prevention & Research Institute of Texas,5168 - Gr Acct-Cancer Prevention Research I&S,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$7,327,760 "
2025,Operating Fund Transfers,Cancer Prevention & Research Institute of Texas,7639 - Tpfa Cprit Project Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$241,447,592 "
2025,Operating Fund Transfers,Commission on State Emergency Communications,5007 - Gr Acct Comm On State Emergency Comm,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$102,268,194 "
2025,Operating Fund Transfers,Commission on State Emergency Communications,5050 - Gr Acct-911 Service Fees,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$44,957,637 "
2025,Operating Fund Transfers,Comptroller-State Energy Conservation Office,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,224,967 "
2025,Operating Fund Transfers,Comptroller-State Energy Conservation Office,5005 - Gr Acct - Oil Overcharge,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,119,324 "
2025,Operating Fund Transfers,Comptroller-State Fiscal,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,321,844,292 "
2025,Operating Fund Transfers,Comptroller-State Fiscal,5040 - Gr Acct-Tobacco Settlement,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$862,005,156 "
2025,Operating Fund Transfers,Comptroller-State Fiscal,5189 - Gr Acct-Opioid Abatement,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$440,000 "
2025,Operating Fund Transfers,Department of Agriculture,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,118,998 "
2025,Operating Fund Transfers,Department of Agriculture,0183 - Tx Economic Development Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$367,306 "
2025,Operating Fund Transfers,Department of Agriculture,0186 - Pesticide Disposal Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$27,593 "
2025,Operating Fund Transfers,Department of Agriculture,0364 - Perm Endow Fd Rurl Com Health Care Invst,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$360,115 "
2025,Operating Fund Transfers,Department of Agriculture,0683 - Tex Agricultural Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,066,108 "
2025,Operating Fund Transfers,Department of Agriculture,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$201,711 "
2025,Operating Fund Transfers,Department of Agriculture,0974 - Produce Recovery Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,235,872 "
2025,Operating Fund Transfers,Department of Agriculture,5178 - Gr Acct - State Hemp Program,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,026,087 "
2025,Operating Fund Transfers,Department of State Health Services,0129 - Gr Acct-Hospital Licensing,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$137,865 "
2025,Operating Fund Transfers,Department of State Health Services,0273 - Gr Acct-Fed Health & Health Lab Funding,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$4,658,167 "
2025,Operating Fund Transfers,Department of State Health Services,0325 - Coronavirus Relief Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$344,921 "
2025,Operating Fund Transfers,Department of State Health Services,5017 - Gr Acct-Asbestos Removal Licensure,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$875,000 "
2025,Operating Fund Transfers,Department of State Health Services,5020 - Gr Acct-Workplace Chemicals List,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$14,694 "
2025,Operating Fund Transfers,Department of State Health Services,5022 - Gr Acct - Oysters Sales,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,155 "
2025,Operating Fund Transfers,Department of State Health Services,5048 - Gr Acct-Perm Hosp Cptl Imp/Ctr Infec Dis,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,$80 
2025,Operating Fund Transfers,Department of State Health Services,"5108 - Gr Acct - Ems, Trauma Fac, Trauma Sys",7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,266,456 "
2025,Operating Fund Transfers,Department of State Health Services,5111 - Gr Acct - Trauma Facility & Ems,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$8,199,711 "
2025,Operating Fund Transfers,Department of State Health Services,7639 - Tpfa Cprit Project Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,114,114 "
2025,Operating Fund Transfers,District Courts-Comptroller's Judiciary Section,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$16,271,560 "
2025,Operating Fund Transfers,District Courts-Comptroller's Judiciary Section,0328 - Jury Service Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$6,530,578 "
2025,Operating Fund Transfers,Employees Retirement System of Texas,"0945 - Def Compensation Trust Fd, Ers",7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$901,363 "
2025,Operating Fund Transfers,General Land Office,0374 - Vlb-Veterans Financial Asst Prog Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$27,163,231 "
2025,Operating Fund Transfers,General Land Office,0522 - Veterans Land Program Admin Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,738,087 "
2025,Operating Fund Transfers,General Land Office,5176 - Gr Acct - Coastal Erosion Response,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$20,045,807 "
2025,Operating Fund Transfers,Governor-Fiscal,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,031,170 "
2025,Operating Fund Transfers,Governor-Fiscal,0224 - Gr Acct-Governors Ofc Federal Proj,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$243,756 "
2025,Operating Fund Transfers,Governor-Fiscal,0325 - Coronavirus Relief Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$25,133,019 "
2025,Operating Fund Transfers,Governor-Fiscal,0421 - Gr Acct-Crim Justice Planning,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$15,827,289 "
2025,Operating Fund Transfers,Governor-Fiscal,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$42,163,375 "
2025,Operating Fund Transfers,Governor-Fiscal,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$126,153 "
2025,Operating Fund Transfers,Governor-Fiscal,0806 - Spaceport Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$18,923,228 "
2025,Operating Fund Transfers,Governor-Fiscal,0830 - Events Trust Fd For Certain Muni/Countys,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$31,381,597 "
2025,Operating Fund Transfers,Governor-Fiscal,0869 - Major Events Reimbursement Program,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$36,824,559 "
2025,Operating Fund Transfers,Governor-Fiscal,5003 - Gr Acct-Hotel Occ Tax For Economic Devel,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$101,263,696 "
2025,Operating Fund Transfers,Governor-Fiscal,5010 - Gr Acct - Sexual Assault Program,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,241,449 "
2025,Operating Fund Transfers,Governor-Fiscal,5012 - Gr Acct - Crime Stoppers Assistance,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,015,628 "
2025,Operating Fund Transfers,Governor-Fiscal,5106 - Gr Acct - Economic Dev Bank,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$19,656,877 "
2025,Operating Fund Transfers,Governor-Fiscal,5107 - Gr Acct - Texas Enterprise,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$427,504,851 "
2025,Operating Fund Transfers,Governor-Fiscal,5114 - Gr Acct-Tx Military Value Revolving Loan,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$13,073 "
2025,Operating Fund Transfers,Governor-Fiscal,5149 - Gr Acct-Bp Oil Spill Tx Response Grant,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$109,344 "
2025,Operating Fund Transfers,Governor-Fiscal,5153 - Gr Acct-Emergency Radio Infrastructure,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$10,640,475 "
2025,Operating Fund Transfers,Governor-Fiscal,5161 - Gr-Acct Governor'S Univ Research Initive,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$18,752,002 "
2025,Operating Fund Transfers,Governor-Fiscal,5164 - Gr Acct-Youth Diversion,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$10,078,187 "
2025,Operating Fund Transfers,Governor-Fiscal,5170 - Gr Acct-Evidence Testing,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,874,991 "
2025,Operating Fund Transfers,Governor-Fiscal,5184 - Gr Account - Specialty Court,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$13,515,918 "
2025,Operating Fund Transfers,Governor-Fiscal,5197 - Gr Acct - Texas Semiconductor Innovation,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,341,700,000 "
2025,Operating Fund Transfers,Health and Human Services Commission,0129 - Gr Acct-Hospital Licensing,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$14,793,160 "
2025,Operating Fund Transfers,Health and Human Services Commission,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$10,142,946 "
2025,Operating Fund Transfers,Health and Human Services Commission,5018 - Gr Acct - Home Health Services,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,714,680 "
2025,Operating Fund Transfers,Health and Human Services Commission,7658 - Tpfa Go Cml Paper Ser2008 Dads Prj 1b Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,$510 
2025,Operating Fund Transfers,Health and Human Services Commission,7802 - Tpfa Rv Com Pap Srs 2019a Hhsc Def Maint,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$645,467 "
2025,Operating Fund Transfers,Parks and Wildlife Department,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$15,653 "
2025,Operating Fund Transfers,Parks and Wildlife Department,"0009 - Gr Account-Game, Fish, Water Safety",7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$940,029 "
2025,Operating Fund Transfers,Parks and Wildlife Department,0064 - Gr Acct-State Parks,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,222,189 "
2025,Operating Fund Transfers,Parks and Wildlife Department,0467 - Gr Acct-Tx Recreation & Parks,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$9,230,628 "
2025,Operating Fund Transfers,Parks and Wildlife Department,0544 - Gr Acct-Lifetime Lic Endowmt,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$121,703,042 "
2025,Operating Fund Transfers,Parks and Wildlife Department,0679 - Gr Acct-Artificial Reef,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$11,145,084 "
2025,Operating Fund Transfers,Parks and Wildlife Department,0885 - State Parks Endowment Trust Account,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$360,989 "
2025,Operating Fund Transfers,Parks and Wildlife Department,5004 - Gr Acct-Pks/ Wildlife Conserv Atn/Capt'L,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$76,161,673 "
2025,Operating Fund Transfers,Parks and Wildlife Department,5150 - Gr Acct-Large Count & Munic Rec & Parks,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$15,045,602 "
2025,Operating Fund Transfers,Parks and Wildlife Department,7654 - Tpfa Go Cml Papr Ser2008 Tpwd Proj 1c Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$161,432 "
2025,Operating Fund Transfers,Parks and Wildlife Department,7659 - Tpfa Go Cml Papr Ser2008 Tpwd Proj 1d Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$204,845 "
2025,Operating Fund Transfers,Prairie View A&M University,0047 - Texas A&M Univ Available Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$13,091,972 "
2025,Operating Fund Transfers,Prairie View A&M University,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$37,705 "
2025,Operating Fund Transfers,Public Utility Commission of Texas,0176 - Texas Energy Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$4,975,000,000 "
2025,Operating Fund Transfers,State Preservation Board,0849 - Bob Bullock Tx St His Museum Local Tr Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$637,778 "
2025,Operating Fund Transfers,State Preservation Board,0879 - Capitol Local Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,144,332 "
2025,Operating Fund Transfers,Tarleton State University,0210 - Support Military/Veterans Exemption,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$307,711 "
2025,Operating Fund Transfers,Texas A&M Forest Service,5064 - Gr Acct - Volunteer Fire Dept Assistance,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$18,181,403 "
2025,Operating Fund Transfers,Texas A&M Forest Service,5066 - Gr Acct-Rural Volunteer Fire Dept Insura,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$4,708,840 "
2025,Operating Fund Transfers,Texas A&M University (Main University),0047 - Texas A&M Univ Available Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$162,089,221 "
2025,Operating Fund Transfers,Texas A&M University (Main University),0210 - Support Military/Veterans Exemption,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$304,480 "
2025,Operating Fund Transfers,Texas A&M University at Galveston,0210 - Support Military/Veterans Exemption,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$153,146 "
2025,Operating Fund Transfers,Texas A&M University System,0047 - Texas A&M Univ Available Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$36,376,808 "
2025,Operating Fund Transfers,Texas A&M University System Health Science Center,0047 - Texas A&M Univ Available Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$109,699,814 "
2025,Operating Fund Transfers,Texas A&M University-Central Texas,0210 - Support Military/Veterans Exemption,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,200 "
2025,Operating Fund Transfers,Texas A&M University-Kingsville,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,$671 
2025,Operating Fund Transfers,Texas A&M University-Texarkana,0210 - Support Military/Veterans Exemption,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$5,447 "
2025,Operating Fund Transfers,Texas Broadband Development Office,0188 - Broadband Pole Replacement Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$75,000,000 "
2025,Operating Fund Transfers,Texas Commission on Environmental Quality,0088 - Gr-Acct Low-Level Radioactive Waste,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$10,000,000 "
2025,Operating Fund Transfers,Texas Commission on Environmental Quality,5071 - Gr Acct-Emissions Reduction Plan,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$700,000,000 "
2025,Operating Fund Transfers,Texas Department of Criminal Justice,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$8,454,384 "
2025,Operating Fund Transfers,Texas Department of Criminal Justice,5060 - Gr Acct-Private Sector Prison Industries,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$45,245 "
2025,Operating Fund Transfers,Texas Department of Licensing and Regulation,0501 - Gr Acct-Motorcycle Education,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$51,352,653 "
2025,Operating Fund Transfers,Texas Department of Public Safety,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$35,620,402 "
2025,Operating Fund Transfers,Texas Department of Public Safety,5013 - Gr Acct - Breath Alcohol Testing,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$7,000,000 "
2025,Operating Fund Transfers,Texas Department of Public Safety,7629 - Tpfa Go Coml Paper Ser2008 Dps Prj 1a Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$651,510 "
2025,Operating Fund Transfers,Texas Department of Public Safety,7656 - Tpfa Go Cml Papr Ser2008 Dps Proj 1c Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,155,878 "
2025,Operating Fund Transfers,Texas Department of Transportation,0006 - State Highway Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,($45)
2025,Operating Fund Transfers,Texas Department of Transportation,0184 - Transportation Infrastructure Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$11,281,957 "
2025,Operating Fund Transfers,Texas Department of Transportation,5167 - Gr Acct-Ship Channel Improvement Revolv,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$400,000,000 "
2025,Operating Fund Transfers,Texas Department of Transportation,5199 - Gr Acct - Port Access,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$176,006,590 "
2025,Operating Fund Transfers,Texas Department of Transportation,7604 - Tpfa Go Ser2002b Coml Pap Colonia Prj Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$117,361 "
2025,Operating Fund Transfers,Texas Division of Emergency Management,5189 - Gr Acct-Opioid Abatement,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$500,000 "
2025,Operating Fund Transfers,Texas Education Agency,0002 - Available School Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$100,078,137 "
2025,Operating Fund Transfers,Texas Education Agency,0003 - State Technology Instructional Materials,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$437,225,429 "
2025,Operating Fund Transfers,Texas Education Agency,0193 - Gr Account-Foundation School,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$332,845,226 "
2025,Operating Fund Transfers,Texas Facilities Commission,5166 - Gr Acct-Deferred Maintenance,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$271,518,464 "
2025,Operating Fund Transfers,Texas Higher Education Coordinating Board,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$61,097 "
2025,Operating Fund Transfers,Texas Higher Education Coordinating Board,0387 - Texas Opportunity Plan Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$193,277,913 "
2025,Operating Fund Transfers,Texas Higher Education Coordinating Board,0388 - Tx Coll Student Loan Bond I&S,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$143,609,505 "
2025,Operating Fund Transfers,Texas Higher Education Coordinating Board,0601 - Student Loan Auxiliary Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$110,840,679 "
2025,Operating Fund Transfers,Texas Higher Education Coordinating Board,0824 - Perm Fd Hied Nursing/Allied/Other Health,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$140,042 "
2025,Operating Fund Transfers,Texas Higher Education Coordinating Board,0825 - Perm Fd Minority Hlth Research/Education,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$686,299 "
2025,Operating Fund Transfers,Texas Historical Commission,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$8,126,687 "
2025,Operating Fund Transfers,Texas Historical Commission,0664 - Gr Acct-Tx Preservation Trust,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,650,433 "
2025,Operating Fund Transfers,Texas Historical Commission,5139 - Gr Acct - Historic Site,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,421,502 "
2025,Operating Fund Transfers,Texas Lottery Commission,0895 - Lotto Prize Trust Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$106,506,732 "
2025,Operating Fund Transfers,Texas Lottery Commission,5025 - Gr Acct-Lottery,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$50,000,000 "
2025,Operating Fund Transfers,Texas Low-Level Radioactive Waste Disposal Compact Commission,5151 - Gr Acct-Lw-Lvl Radioact Waste Disp Cpt C,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$111,382 "
2025,Operating Fund Transfers,Texas Public Finance Authority,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,000 "
2025,Operating Fund Transfers,Texas Public Finance Authority,0733 - Tpfa Master Lease Interest/Sinking Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,856,316 "
2025,Operating Fund Transfers,Texas Public Finance Authority,7013 - Tpfa Go Ser 2002a Int & Sink Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$66,715 "
2025,Operating Fund Transfers,Texas Public Finance Authority,7020 - Tpfa Go Ser2002b Coml Pap Colonia Rebate,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$120,519 "
2025,Operating Fund Transfers,Texas Public Finance Authority,7030 - Tpfa Go Ser2007 Tdcj&Tfc Inter & Sink Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$57,383 "
2025,Operating Fund Transfers,Texas Public Finance Authority,7201 - Tpfa Go Ser 2002a Coml Paper Tdh Proj A,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,701 "
2025,Operating Fund Transfers,Texas Public Finance Authority,7209 - Tpfa Go Ser2008a Refndg Dps Project Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$162,391 "
2025,Operating Fund Transfers,Texas Public Finance Authority,7211 - Tpfa Go Series 2009b Dps Project Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$207,284 "
2025,Operating Fund Transfers,Texas Public Finance Authority,7618 - Tpfa Go Ser2002a Coml Paper Dps Prj B Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$607,013 "
2025,Operating Fund Transfers,Texas Public Finance Authority,7648 - Tpfa Go Coml Papr Ser2008 Dps Proj 1b Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$442,948 "
2025,Operating Fund Transfers,Texas Public Finance Authority,7651 - Tpfa Go Cml Paper Ser2008 Dshs Prj 1c Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$298,143 "
2025,Operating Fund Transfers,Texas Public Finance Authority,7662 - Tpfa Go Cml Paper Ser2008 Thc Proj 1d Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$19,938 "
2025,Operating Fund Transfers,Texas Public Finance Authority,7800 - Tpfa Rv Com Pap Srs 16 Tfc Project Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$906,682 "
2025,Operating Fund Transfers,Texas State Library and Archives Commission,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$307,111 "
2025,Operating Fund Transfers,Texas Tech University,0214 - Available Texas University Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,$513 
2025,Operating Fund Transfers,Texas Veterans Commission,0368 - Fund For Veterans' Assistance,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$15,186,723 "
2025,Operating Fund Transfers,Texas Water Development Board,0175 - Texas Infrastructure Resiliency Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$39,297,512 "
2025,Operating Fund Transfers,Texas Water Development Board,0194 - Flood Infrastructure Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"($1,071,525)"
2025,Operating Fund Transfers,Texas Water Development Board,0301 - Rural Water Assistance Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$853,860 "
2025,Operating Fund Transfers,Texas Water Development Board,0302 - Water Infrastructure Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$33,901,683 "
2025,Operating Fund Transfers,Texas Water Development Board,0356 - Economicaly Distrs Areas Cl Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$8,037 "
2025,Operating Fund Transfers,Texas Water Development Board,0357 - Economic Distrs Area Cl I&S Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,197,404 "
2025,Operating Fund Transfers,Texas Water Development Board,0358 - Agrig Water Conservation Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,000,000 "
2025,Operating Fund Transfers,Texas Water Development Board,0370 - Tx Water Development Fd Ii Clearance Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$177,021,790 "
2025,Operating Fund Transfers,Texas Water Development Board,0371 - Tx Water Development Fd Ii,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$51,907,360 "
2025,Operating Fund Transfers,Texas Water Development Board,0480 - Water Assistance Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"($889,995)"
2025,Operating Fund Transfers,Texas Water Development Board,0484 - Texas Water Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,027,991,885 "
2025,Operating Fund Transfers,Texas Water Development Board,5180 - Gr Account - Strategic Mapping,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,697 "
2025,Operating Fund Transfers,Texas Workforce Commission,0925 - Career School/College Tuition Trust Acct,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,025,142 "
2025,Operating Fund Transfers,Texas Workforce Commission,5043 - Gr Acct-Business Enterprise Prog Trust,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$186,852 "
2025,Operating Fund Transfers,Texas Workforce Commission,5143 - Gr Account -Jobs & Educ For Texans (Jet),7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,148,544 "
2025,Operating Fund Transfers,University of Houston,0214 - Available Texas University Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$12,249,807 "
2025,Operating Fund Transfers,University of Texas at Arlington,0214 - Available Texas University Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,000,000 "
2025,Operating Fund Transfers,University of Texas at Dallas,0214 - Available Texas University Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,856,561 "
2025,Operating Fund Transfers,University of Texas at San Antonio,0214 - Available Texas University Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$5,544,821 "
2025,Operating Fund Transfers,University of Texas Health Science Center at Houston,0810 - Permanent Health Fund For Higher Ed,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$627,735 "
2025,Operating Fund Transfers,University of Texas Health Science Center at Houston,0822 - Perm Endowmnt Fd Ut Reg Acad Health Ctr,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,869,801 "
2025,Operating Fund Transfers,University of Texas Health Science Center at San Antonio,5189 - Gr Acct-Opioid Abatement,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$5,046,043 "
2025,Operating Fund Transfers,University of Texas of the Permian Basin,0210 - Support Military/Veterans Exemption,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$4,789 "
2025,Operating Fund Transfers,University of Texas System,0011 - Available University Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$681,849 "
2024,Operating Fund Transfers,Attorney General,5010 - Gr Acct - Sexual Assault Program,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$798,792 "
2024,Operating Fund Transfers,Cancer Prevention & Research Institute of Texas,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,$0 
